ApplicantID,Age,AnnualIncome,EmploymentType,CreditScore,LoanAmount,LoanTermMonths,NumExistingLoans,HomeOwnership,MaritalStatus,LoanPurpose,DebtToIncomeRatio,LoanDefault
LN5278,55,36618.95,Self-Employed,850.0,14284.92,36,2,Own,Married,Medical,0.419,0
LN5279,45,49975.89,Salaried,706.0,55434.76,24,2,Mortgage,Married,Business,0.989,0
LN5280,49,101499.52,Salaried,590.0,15991.58,24,2,Rent,Single,Education,0.192,0
LN5281,38,120527.81,Salaried,630.0,15645.64,48,0,Mortgage,Divorced,Home Improvement,0.129,0
LN5282,38,71175.26,Salaried,571.0,8684.17,36,0,Rent,Single,Debt Consolidation,0.152,0
LN5283,22,65954.12,Salaried,646.0,37254.36,24,3,Rent,Divorced,Other,0.525,1
LN5284,55,31988.5,Self-Employed,678.0,42762.62,24,1,Rent,Single,Debt Consolidation,1.332,0
LN5285,36,58665.36,Salaried,810.0,22283.64,24,0,Mortgage,Married,Medical,0.4,0
LN5286,61,64757.86,Salaried,503.0,19777.49,48,1,Own,Married,Other,0.381,1
LN5287,56,44126.46,Self-Employed,655.0,11604.41,24,2,Rent,Single,Medical,0.325,0
LN5288,53,36410.48,Self-Employed,586.0,16895.5,60,2,Mortgage,Married,Business,0.504,0
LN5289,24,25831.53,Business Owner,697.0,8094.22,60,2,Own,Married,Education,0.285,0
LN5290,53,20560.67,Self-Employed,634.0,6797.65,12,0,Rent,Single,Medical,0.331,1
LN5291,34,18509.85,Salaried,528.0,5473.01,24,0,Mortgage,Married,Medical,0.381,0
LN5292,41,65494.49,Business Owner,562.0,17092.66,48,0,Mortgage,Married,Debt Consolidation,0.288,0
LN5293,40,52778.0,Salaried,575.0,5842.86,24,2,Rent,Single,Education,0.132,0
LN5294,28,47508.68,Salaried,771.0,9899.29,12,2,Own,Divorced,Business,0.264,0
LN5295,27,41534.17,Self-Employed,766.0,12877.83,24,4,Own,Divorced,Medical,0.331,0
LN5296,23,54460.74,Unemployed,622.0,24274.32,36,0,Mortgage,Single,Medical,0.452,1
LN5297,37,45148.78,Salaried,761.0,9443.37,48,2,Rent,Married,Medical,0.241,0
LN5298,53,25077.43,Salaried,634.0,26054.96,12,2,Own,Single,Debt Consolidation,1.273,0
LN5299,32,77381.28,Salaried,621.0,23470.4,12,1,Mortgage,Married,Medical,0.32,0
LN5300,42,57071.67,Salaried,655.0,7024.89,60,1,Rent,Divorced,Medical,0.128,0
LN5301,42,55991.17,Salaried,676.0,26204.73,48,1,Rent,Single,Debt Consolidation,0.454,1
LN5302,50,74516.91,Self-Employed,600.0,11269.46,36,0,Own,Married,Medical,0.134,0
LN5303,58,32636.2,Salaried,652.0,9903.36,48,0,Rent,Married,Education,0.385,0
LN5304,58,89937.09,Unemployed,721.0,11298.08,36,3,Own,Single,Education,0.12,0
LN5305,28,45705.71,Business Owner,662.0,13331.66,48,1,Rent,Divorced,Debt Consolidation,0.35,0
LN5306,47,76442.91,Self-Employed,654.0,10414.7,24,1,Mortgage,Married,Education,0.158,0
LN5307,47,70772.41,Business Owner,694.0,8072.23,24,3,Own,Married,Other,0.136,0
LN5308,54,29161.34,Salaried,710.0,8512.12,48,1,Rent,Married,Other,0.37,0
LN5309,41,63035.3,Salaried,644.0,14521.21,36,0,Own,Single,Other,0.256,0
LN5310,50,57707.21,Self-Employed,607.0,12133.46,60,0,Own,Single,Business,0.263,0
LN5311,53,49769.41,Business Owner,667.0,18331.68,24,2,Mortgage,Divorced,Medical,0.326,1
LN5312,48,46761.44,Business Owner,507.0,13786.12,60,0,Rent,Married,Business,0.328,0
LN5313,53,46960.09,Salaried,631.0,13991.54,60,2,Own,Married,Education,0.353,0
LN5314,25,73595.91,Unemployed,428.0,19066.48,24,0,Own,Single,Debt Consolidation,0.242,0
LN5315,39,65444.34,Salaried,499.0,31299.29,48,4,Own,Married,Other,0.56,1
LN5316,24,49773.57,Business Owner,486.0,32061.57,36,0,Mortgage,Divorced,Debt Consolidation,0.766,1
LN5317,55,50438.32,Unemployed,744.0,29859.07,60,1,Mortgage,Single,Business,1.48,1
LN5318,37,62769.32,Salaried,651.0,22522.49,36,3,Own,Single,Education,0.343,0
LN5319,64,70390.02,Self-Employed,536.0,46688.18,48,2,Own,Married,Medical,0.757,1
LN5320,48,154848.89,Salaried,694.0,17373.38,36,1,Mortgage,Single,Education,0.107,0
LN5321,50,83928.16,Salaried,739.0,16241.54,24,0,Rent,Single,Other,0.226,0
LN5322,49,18966.16,Salaried,696.0,51346.54,24,2,Rent,Divorced,Education,1.48,1
LN5323,26,50981.33,Self-Employed,633.0,2603.0,36,2,Rent,Divorced,Debt Consolidation,0.056,0
LN5324,55,121259.42,Unemployed,671.0,11750.63,48,1,Own,Married,Home Improvement,0.098,0
LN5325,61,66954.89,Self-Employed,731.0,28324.92,36,0,Rent,Married,Other,0.373,0
LN5326,57,57775.85,Salaried,608.0,24056.43,36,0,Mortgage,Divorced,Medical,0.37,0
LN5327,44,76888.71,Business Owner,653.0,62279.71,24,0,Rent,Married,Other,0.679,0
LN5328,49,35911.43,Unemployed,627.0,14249.7,36,0,Mortgage,Single,Other,0.44,0
LN5329,51,62258.17,Salaried,505.0,10316.6,12,0,Mortgage,Single,Medical,0.203,0
LN5330,55,43250.58,Unemployed,732.0,10946.22,48,1,Mortgage,Single,Other,0.205,0
LN5331,53,48542.17,Salaried,835.0,16168.83,60,1,Mortgage,Single,Debt Consolidation,0.277,0
LN5332,41,74178.32,Business Owner,571.0,35347.7,36,1,Rent,Single,Education,0.49,0
LN5333,52,30842.33,Salaried,737.0,35613.66,12,1,Rent,Single,Debt Consolidation,1.35,1
LN5334,43,93338.81,Salaried,574.0,12918.18,24,3,Rent,Single,Education,0.122,1
LN5335,53,39679.66,Salaried,662.0,15549.83,36,2,Rent,Single,Home Improvement,0.367,0
LN5336,23,55844.78,Self-Employed,786.0,9256.11,36,3,Mortgage,Married,Other,0.152,0
LN5337,38,24336.83,Salaried,603.0,9854.37,48,3,Own,Single,Home Improvement,0.405,1
LN5338,45,70257.24,Salaried,649.0,25028.1,24,3,Rent,Married,Business,0.325,0
LN5339,62,50642.455,Self-Employed,488.0,34937.88,48,1,Mortgage,Single,Education,0.338,0
LN5340,51,37898.97,Unemployed,590.0,8792.28,36,0,Rent,Married,Debt Consolidation,0.27,0
LN5341,23,28138.34,Salaried,478.0,15456.33,24,0,Mortgage,Divorced,Debt Consolidation,0.607,0
LN5342,60,56330.51,Salaried,689.0,11546.68,36,1,Mortgage,Married,Other,0.172,0
LN5343,44,101458.52,Salaried,725.0,22433.78,12,2,Rent,Married,Debt Consolidation,0.247,0
LN5344,52,23743.68,Salaried,630.0,10581.8,36,0,Own,Divorced,Business,0.463,0
LN5345,42,28193.48,Business Owner,676.0,4205.41,48,5,Mortgage,Single,Medical,0.189,0
LN5346,43,39061.99,Business Owner,621.0,24396.97,36,3,Own,Divorced,Debt Consolidation,0.59,0
LN5347,22,32527.07,Self-Employed,717.0,11135.68,48,3,Rent,Married,Other,0.398,0
LN5348,47,32578.48,Salaried,662.0,11852.97,36,1,Own,Married,Home Improvement,0.424,0
LN5349,62,17204.73,Business Owner,471.0,17350.09,24,0,Own,Single,Debt Consolidation,0.918,1
LN5350,22,65810.09,Self-Employed,735.0,16509.65,36,0,Mortgage,Married,Debt Consolidation,0.314,0
LN5351,46,58067.43,Business Owner,615.0,17565.17,36,1,Mortgage,Married,Debt Consolidation,0.316,0
LN5352,37,20964.28,Self-Employed,536.0,5024.9,24,1,Mortgage,Married,Other,0.273,0
LN5353,60,101579.59,Business Owner,610.0,18653.43,12,1,Own,Married,Medical,0.16,0
LN5354,53,113612.2,Self-Employed,479.0,4249.54,36,0,Rent,Single,Debt Consolidation,0.035,0
LN5355,29,33676.22,Salaried,538.0,21199.63,12,2,Rent,Single,Medical,0.688,1
LN5356,63,87840.18,Unemployed,663.0,26134.95,12,0,Mortgage,Married,Medical,0.285,0
LN5357,59,36809.13,Salaried,670.0,5877.51,36,0,Rent,Single,Business,0.168,0
LN5358,49,53667.25,Self-Employed,678.0,16269.7,24,2,Mortgage,Single,Home Improvement,0.299,0
LN5359,62,32277.28,Salaried,650.0,25192.65,60,0,Own,Single,Debt Consolidation,0.874,0
LN5360,46,148319.76,Self-Employed,588.0,10204.64,24,1,Mortgage,Single,Debt Consolidation,0.072,0
LN5361,55,42276.7,Self-Employed,645.0,20013.89,48,0,Mortgage,Married,Debt Consolidation,0.38,0
LN5362,45,52220.19,Salaried,611.0,2511.8,36,1,Mortgage,Single,Medical,0.054,0
LN5363,44,34753.35,Salaried,504.0,25820.34,48,0,Mortgage,Divorced,Education,0.751,0
LN5364,33,124325.42,Self-Employed,580.0,13602.33,24,2,Rent,Married,Home Improvement,0.106,0
LN5365,27,125908.07,Business Owner,730.0,11444.93,60,3,Mortgage,Married,Other,0.077,0
LN5366,56,110798.07,Salaried,793.0,24111.03,36,1,Rent,Single,Debt Consolidation,0.198,0
LN5367,40,79080.39,Salaried,709.0,37705.97,48,1,Own,Married,Education,0.435,0
LN5368,21,35868.16,Self-Employed,789.0,17879.85,24,0,Mortgage,Married,Education,0.632,1
LN5369,28,74155.91,Salaried,658.0,35074.45,12,1,Mortgage,Divorced,Education,0.481,0
LN5370,36,48848.48,Salaried,807.0,5260.76,36,2,Mortgage,Married,Home Improvement,0.088,0
LN5371,34,94485.75,Salaried,835.0,19921.79,12,0,Rent,Married,Education,0.183,0
LN5372,32,85643.71,Salaried,494.0,12342.42,36,0,Rent,Divorced,Other,0.121,0
LN5373,43,35431.88,Salaried,670.0,8325.42,24,2,Mortgage,Single,Debt Consolidation,0.257,0
LN5374,35,78740.5,Salaried,658.0,4199.8,36,0,Rent,Single,Other,0.048,0
LN5375,48,68941.75,Salaried,612.0,19284.79,60,1,Rent,Married,Debt Consolidation,0.294,0
LN5376,54,15000.0,Salaried,694.0,22588.0,36,2,Rent,Single,Business,1.48,1
LN5377,22,73164.7,Salaried,654.0,29888.04,48,1,Own,Single,Medical,0.491,0
LN5378,52,39501.82,Salaried,584.0,27062.23,36,1,Rent,Married,Education,0.658,0
LN5379,43,31475.94,Salaried,648.0,8408.3,36,3,Own,Single,Other,0.275,0
LN5380,42,32156.49,Business Owner,758.0,28981.8,60,1,Rent,Married,Medical,1.046,0
LN5381,45,45815.54,Salaried,666.0,30878.29,48,1,Mortgage,Divorced,Medical,0.685,0
LN5382,42,62319.51,Salaried,706.0,11430.15,48,2,Mortgage,Single,Medical,0.219,0
LN5383,42,24767.04,Salaried,625.0,13589.56,24,0,Own,Single,Medical,0.62,0
LN5384,62,53902.06,Salaried,691.0,7627.44,36,1,Mortgage,Single,Medical,0.142,1
LN5385,26,65406.64,Self-Employed,541.0,32484.94,24,3,Rent,Single,Debt Consolidation,0.522,0
LN5386,35,124355.9,Self-Employed,605.0,5393.38,36,1,Own,Single,Home Improvement,0.056,0
LN5387,63,28614.1,Business Owner,641.0,18416.13,36,0,Mortgage,Single,Education,0.728,0
LN5388,57,41158.84,Self-Employed,535.0,9338.51,48,2,Rent,Married,Education,0.284,1
LN5389,53,55872.72,Unemployed,575.0,6872.53,48,0,Mortgage,Single,Debt Consolidation,0.109,0
LN5390,28,87003.59,Salaried,678.0,4337.98,36,3,Mortgage,Married,Other,0.052,0
LN5391,64,42103.58,Salaried,662.0,11739.99,12,3,Mortgage,Divorced,Debt Consolidation,0.35,0
LN5392,64,89261.07,Salaried,723.0,6255.7,48,0,Mortgage,Married,Medical,0.067,0
LN5393,25,18607.48,Salaried,596.0,13819.72,24,1,Own,Married,Home Improvement,0.953,0
LN5394,59,26195.05,Salaried,655.0,38622.97,36,0,Own,Single,Education,1.251,1
LN5395,24,58356.27,Self-Employed,590.0,15058.6,12,3,Rent,Married,Other,0.323,0
LN5396,26,24211.61,Salaried,714.0,44283.54,24,2,Rent,Single,Business,1.48,1
LN5397,52,27248.8,Unemployed,757.0,7410.37,60,1,Own,Single,Debt Consolidation,0.228,0
LN5398,50,37650.88,Business Owner,693.0,6194.61,12,1,Own,Married,Business,0.204,0
LN5399,55,72093.52,Salaried,746.0,7214.09,36,2,Mortgage,Single,Education,0.093,0
LN5400,60,18996.64,Salaried,653.0,12847.95,24,4,Rent,Single,Debt Consolidation,0.549,0
LN5401,36,53377.75,Salaried,723.0,68443.87,60,0,Mortgage,Divorced,Education,1.113,0
LN5402,33,82164.78,Salaried,657.0,4928.21,48,0,Rent,Divorced,Debt Consolidation,0.068,0
LN5403,62,44468.1,Salaried,558.0,19376.14,24,0,Own,Single,Other,0.562,0
LN5404,50,40765.23,Salaried,646.0,8778.15,12,0,Rent,Single,Education,0.184,0
LN5405,39,59927.19,Salaried,560.0,11680.99,36,1,Mortgage,Married,Business,0.201,0
LN5406,37,44531.16,Salaried,850.0,6280.39,24,0,Rent,Married,Home Improvement,0.126,0
LN5407,39,98247.97,Unemployed,620.0,22640.21,36,0,Mortgage,Single,Other,0.27,0
LN5408,48,28121.61,Self-Employed,708.0,13012.23,12,2,Rent,Married,Other,0.397,0
LN5409,46,47771.19,Unemployed,649.0,25654.45,12,1,Own,Divorced,Debt Consolidation,0.494,0
LN5410,57,54330.62,Salaried,539.0,14840.97,36,2,Own,Single,Business,0.245,0
LN5411,46,40569.55,Salaried,479.0,4192.39,24,2,Mortgage,Divorced,Education,0.111,0
LN5412,43,15000.0,Self-Employed,717.0,25794.73,48,1,Rent,Divorced,Business,1.48,1
LN5413,29,45231.43,Salaried,789.0,3992.61,12,0,Rent,Single,Other,0.093,0
LN5414,32,76886.72,Salaried,584.0,4350.55,24,0,Mortgage,Married,Debt Consolidation,0.047,0
LN5415,21,72334.36,Self-Employed,501.0,7705.41,60,0,Mortgage,Single,Business,0.115,0
LN5416,21,58535.53,Self-Employed,621.0,7767.37,36,0,Own,Married,Education,0.159,0
LN5417,54,28312.79,Salaried,566.0,30872.24,48,1,Rent,Married,Medical,0.944,1
LN5418,52,59733.89,Salaried,591.0,12055.86,24,1,Rent,Single,Other,0.169,1
LN5419,45,36801.03,Salaried,705.0,28238.21,36,6,Rent,Married,Home Improvement,0.686,0
LN5420,60,58497.63,Salaried,645.0,9501.92,48,1,Mortgage,Married,Home Improvement,0.191,0
LN5421,21,52091.26,Salaried,575.0,16164.74,24,1,Rent,Single,Other,0.34,0
LN5422,36,30085.91,Salaried,703.0,17755.05,48,2,Rent,Single,Medical,0.632,0
LN5423,59,31375.17,Salaried,710.0,20285.05,36,5,Rent,Single,Debt Consolidation,0.598,0
LN5424,25,58542.67,Unemployed,620.0,10107.61,24,0,Mortgage,Married,Business,0.167,0
LN5425,42,43890.07,Self-Employed,662.0,10649.7,36,3,Rent,Divorced,Business,0.311,0
LN5426,49,32204.43,Self-Employed,697.0,11171.51,36,0,Mortgage,Married,Medical,0.319,0
LN5427,23,30902.27,Salaried,688.0,4956.98,24,1,Mortgage,Married,Medical,0.201,0
LN5428,32,42111.86,Salaried,654.0,12703.83,36,0,Mortgage,Married,Education,0.329,0
LN5429,46,107371.75,Salaried,779.0,10612.52,24,0,Mortgage,Single,Education,0.085,0
LN5430,36,37682.87,Salaried,702.0,18921.3,36,0,Mortgage,Single,Home Improvement,0.519,0
LN5431,57,48678.38,Salaried,609.0,14112.0,48,1,Mortgage,Married,Debt Consolidation,0.369,0
LN5432,42,51576.54,Business Owner,610.0,29787.05,36,0,Mortgage,Married,Debt Consolidation,0.583,0
LN5433,49,27847.18,Self-Employed,600.0,13933.52,60,2,Rent,Married,Medical,0.616,1
LN5434,34,20304.21,Salaried,707.0,9534.54,24,0,Mortgage,Divorced,Home Improvement,0.436,0
LN5435,48,29339.2,Salaried,594.0,13830.32,36,0,Own,Married,Home Improvement,0.512,0
LN5436,25,55466.73,Unemployed,612.0,20629.97,48,0,Mortgage,Married,Education,0.454,0
LN5437,50,51208.74,Salaried,745.0,4610.43,36,0,Rent,Single,Business,0.113,0
LN5438,25,69647.58,Salaried,667.0,8698.02,36,1,Rent,Divorced,Debt Consolidation,0.13,0
LN5439,32,51450.47,Salaried,758.0,8808.69,12,2,Mortgage,Married,Home Improvement,0.192,0
LN5440,36,46407.92,Business Owner,722.0,17095.9,24,2,Rent,Divorced,Education,0.295,0
LN5441,46,36242.72,Unemployed,544.0,18331.42,24,1,Own,Married,Education,0.469,1
LN5442,46,76290.48,Salaried,641.0,14196.3,60,0,Rent,Married,Education,0.175,0
LN5443,41,30958.72,Business Owner,739.0,3019.41,24,2,Own,Married,Business,0.083,0
LN5444,59,28135.86,Business Owner,540.0,4958.45,48,2,Own,Single,Home Improvement,0.166,0
LN5445,56,65090.1,Salaried,688.0,11575.44,36,4,Mortgage,Married,Medical,0.171,0
LN5446,53,25170.33,Salaried,646.0,9888.41,24,1,Mortgage,Divorced,Medical,0.505,0
LN5447,50,163962.91,Salaried,492.0,13402.84,36,0,Mortgage,Single,Education,0.093,0
LN5448,57,51021.21,Unemployed,661.0,10080.53,48,1,Rent,Single,Education,0.2,0
LN5449,43,58334.74,Salaried,575.0,33489.44,48,1,Rent,Married,Business,0.743,0
LN5450,30,32721.58,Business Owner,545.0,3373.26,24,1,Mortgage,Single,Education,0.09,1
LN5451,25,41871.79,Salaried,651.0,16019.73,24,1,Mortgage,Married,Other,0.397,0
LN5452,56,39601.47,Self-Employed,476.0,21956.23,24,1,Own,Married,Home Improvement,0.623,0
LN5453,54,37387.16,Salaried,589.0,20351.77,12,1,Own,Single,Education,0.451,1
LN5454,51,67270.76,Self-Employed,850.0,21426.07,36,0,Rent,Married,Education,0.369,0
LN5455,30,39152.2,Business Owner,709.0,23357.41,48,0,Own,Married,Home Improvement,0.507,0
LN5456,39,81531.98,Business Owner,571.0,9298.53,24,3,Rent,Divorced,Debt Consolidation,0.099,1
LN5457,52,185644.93,Business Owner,776.0,6898.85,48,2,Mortgage,Married,Other,0.033,0
LN5458,21,42286.76,Salaried,561.0,3941.0,36,1,Own,Divorced,Other,0.118,0
LN5459,25,52899.95,Self-Employed,600.0,10747.61,24,0,Mortgage,Single,Medical,0.232,0
LN5460,24,59263.03,Salaried,547.0,8378.97,12,0,Own,Single,Education,0.159,0
LN5461,36,121267.29,Salaried,673.0,26821.67,48,0,Mortgage,Single,Home Improvement,0.238,0
LN5462,44,47036.36,Salaried,773.0,11242.6,48,1,Rent,Married,Medical,0.226,0
LN5463,36,32386.32,Salaried,646.0,7199.43,36,0,Mortgage,Divorced,Business,0.247,0
LN5464,22,26025.44,Salaried,465.0,6547.76,12,1,Own,Married,Debt Consolidation,0.253,1
LN5465,48,47620.0,Unemployed,748.0,44059.31,24,0,Rent,Married,Education,0.807,0
LN5466,52,39175.62,Salaried,790.0,13183.85,12,1,Own,Single,Debt Consolidation,0.385,0
LN5467,47,133920.91,Self-Employed,470.0,8359.03,36,1,Rent,Single,Education,0.054,0
LN5468,40,118768.47,Salaried,691.0,14391.96,48,2,Mortgage,Divorced,Education,0.108,0
LN5469,44,29225.99,Salaried,670.0,41694.87,12,3,Mortgage,Married,Education,1.48,1
LN5470,32,34359.02,Salaried,579.0,10574.4,48,4,Rent,Married,Debt Consolidation,0.348,1
LN5471,55,50862.7,Unemployed,525.0,20175.14,36,3,Rent,Single,Other,0.442,1
LN5472,53,98578.97,Business Owner,739.0,27224.61,36,1,Own,Divorced,Business,0.279,0
LN5473,53,50438.32,Unemployed,666.0,4294.74,60,1,Mortgage,Married,Other,0.085,0
LN5474,63,35467.77,Unemployed,673.0,9108.4,12,2,Rent,Married,Home Improvement,0.294,1
LN5475,57,47598.62,Salaried,594.0,25251.78,60,2,Own,Single,Home Improvement,0.621,0
LN5476,32,35801.95,Salaried,578.0,8781.64,12,1,Mortgage,Married,Other,0.259,1
LN5477,23,66253.17,Self-Employed,429.0,17133.23,24,0,Rent,Divorced,Business,0.332,0
LN5478,21,34388.69,Salaried,629.0,8475.3,48,2,Rent,Divorced,Business,0.315,0
LN5479,53,37978.75,Salaried,779.0,10225.8,60,0,Rent,Single,Education,0.271,0
LN5480,60,87637.73,Salaried,570.0,9505.08,36,2,Rent,Single,Education,0.131,0
LN5481,30,33383.52,Self-Employed,513.0,19574.87,36,0,Rent,Married,Home Improvement,0.628,0
LN5482,63,23787.99,Self-Employed,689.0,15077.34,48,2,Rent,Single,Education,0.669,1
LN5483,64,51405.32,Salaried,706.0,14176.14,48,2,Rent,Married,Education,0.228,0
LN5484,49,40935.92,Salaried,597.0,60144.01,12,3,Mortgage,Single,Business,1.48,1
LN5485,33,63304.25,Self-Employed,619.0,37942.17,48,3,Mortgage,Single,Debt Consolidation,0.749,0
LN5486,32,57453.77,Self-Employed,674.0,4069.41,36,1,Rent,Married,Other,0.084,0
LN5487,51,48244.68,Salaried,636.0,10238.95,36,0,Rent,Married,Medical,0.253,0
LN5488,22,47547.21,Self-Employed,740.0,57289.82,36,1,Mortgage,Married,Medical,1.06,0
LN5489,55,33930.54,Salaried,850.0,9463.96,36,1,Mortgage,Divorced,Education,0.273,0
LN5490,43,51106.84,Salaried,496.0,46753.65,60,2,Rent,Single,Education,0.839,1
LN5491,37,76163.86,Business Owner,761.0,10344.43,36,1,Mortgage,Married,Other,0.13,0
LN5492,46,30130.0,Self-Employed,659.0,11609.76,60,1,Own,Single,Medical,0.42,0
LN5493,28,48888.69,Salaried,775.0,22429.74,24,0,Rent,Married,Business,0.451,0
LN5494,49,82387.94,Self-Employed,715.0,12655.86,48,1,Rent,Single,Medical,0.166,0
LN5495,46,63114.89,Self-Employed,656.0,17975.68,48,1,Rent,Single,Medical,0.29,0
LN5496,30,94347.16,Business Owner,718.0,34371.03,36,1,Rent,Single,Medical,0.344,0
LN5497,46,36898.6,Self-Employed,615.0,21063.15,36,3,Own,Single,Education,0.484,0
LN5498,54,19626.1,Self-Employed,580.0,14543.79,36,1,Rent,Divorced,Education,0.923,1
LN5499,61,54194.02,Salaried,723.0,36465.29,48,0,Mortgage,Married,Other,0.542,0
LN5500,27,58764.04,Salaried,574.0,22606.95,48,1,Rent,Divorced,Medical,0.308,0
LN5501,24,97169.39,Salaried,708.0,8603.07,12,2,Mortgage,Married,Education,0.107,0
LN5502,31,88793.87,Salaried,653.0,43828.74,48,1,Own,Single,Other,0.641,0
LN5503,49,64111.04,Self-Employed,646.0,19641.88,36,2,Mortgage,Single,Medical,0.356,1
LN5504,56,71875.81,Salaried,598.0,11752.18,24,2,Mortgage,Single,Business,0.132,0
LN5505,45,44537.61,Salaried,680.0,3973.92,48,2,Rent,Single,Education,0.081,0
LN5506,41,26647.29,Salaried,613.0,5845.66,36,0,Rent,Married,Debt Consolidation,0.282,0
LN5507,56,51992.8,Salaried,421.0,37052.12,48,0,Rent,Married,Other,0.858,1
LN5508,30,80120.48,Salaried,769.0,37941.44,24,0,Rent,Single,Education,0.513,0
LN5509,57,68062.42,Self-Employed,665.0,14061.14,12,2,Mortgage,Single,Business,0.19,1
LN5510,29,74377.12,Salaried,690.0,4618.63,36,0,Rent,Single,Business,0.05,0
LN5511,44,39581.7,Self-Employed,607.0,6959.17,12,4,Rent,Single,Education,0.142,1
LN5512,55,42925.73,Unemployed,698.0,5042.91,48,0,Rent,Single,Home Improvement,0.13,0
LN5513,55,62424.48,Salaried,815.0,4934.14,24,0,Mortgage,Married,Other,0.064,0
LN5514,56,37299.91,Salaried,584.0,45074.93,36,0,Rent,Single,Medical,1.48,0
LN5515,38,37878.6,Salaried,800.0,45979.49,12,1,Rent,Married,Medical,1.082,0
LN5516,59,56896.61,Self-Employed,686.0,6819.16,24,1,Mortgage,Single,Business,0.138,0
LN5517,52,71714.8,Self-Employed,572.0,13289.89,48,1,Rent,Single,Education,0.163,0
LN5518,44,44366.31,Salaried,849.0,6180.3,24,0,Rent,Married,Home Improvement,0.149,0
LN5519,43,27402.93,Salaried,685.0,13238.14,36,1,Mortgage,Married,Other,0.406,0
LN5520,52,33931.47,Business Owner,711.0,35724.15,60,0,Rent,Single,Debt Consolidation,1.246,1
LN5521,57,54275.93,Salaried,646.0,25520.35,36,4,Rent,Divorced,Medical,0.514,1
LN5522,32,53947.17,Salaried,578.0,21702.82,48,1,Rent,Single,Other,0.339,0
LN5523,33,55305.03,Business Owner,665.0,11890.47,12,0,Mortgage,Single,Other,0.263,0
LN5524,43,63617.74,Self-Employed,792.0,28486.35,24,0,Rent,Married,Home Improvement,0.481,0
LN5525,45,49163.43,Business Owner,622.0,19692.66,48,1,Mortgage,Married,Other,0.505,0
LN5526,55,55967.59,Self-Employed,648.0,17023.49,48,1,Own,Single,Medical,0.383,0
LN5527,61,47929.51,Business Owner,646.0,12465.93,36,1,Rent,Single,Education,0.328,0
LN5528,50,87061.21,Salaried,623.0,16171.79,36,1,Rent,Divorced,Medical,0.156,0
LN5529,37,100325.08,Self-Employed,696.0,15882.15,36,1,Rent,Single,Debt Consolidation,0.136,0
LN5530,40,27051.41,Unemployed,729.0,9654.13,12,0,Own,Single,Education,0.462,0
LN5531,45,43147.25,Self-Employed,632.0,8392.13,48,2,Own,Married,Business,0.203,0
LN5532,42,49829.49,Salaried,678.0,7345.59,36,0,Rent,Divorced,Home Improvement,0.135,0
LN5533,33,42896.38,Salaried,709.0,7633.35,36,0,Own,Single,Medical,0.211,0
LN5534,39,120145.8,Salaried,614.0,11933.9,48,3,Rent,Married,Education,0.093,0
LN5535,56,54829.17,Salaried,723.0,10811.75,24,4,Rent,Married,Other,0.229,0
LN5536,32,32771.49,Salaried,601.0,9205.53,24,3,Rent,Married,Education,0.342,1
LN5537,61,66053.56,Self-Employed,589.0,8805.49,48,0,Own,Married,Medical,0.159,0
LN5538,39,56133.46,Self-Employed,513.0,15916.76,48,1,Rent,Divorced,Business,0.266,0
LN5539,32,57073.57,Salaried,605.0,30533.03,36,2,Rent,Single,Medical,0.535,0
LN5540,29,121047.47,Self-Employed,577.0,13272.51,12,0,Mortgage,Single,Business,0.11,0
LN5541,27,58418.77,Salaried,614.0,12761.67,24,0,Mortgage,Divorced,Other,0.228,1
LN5542,48,42115.42,Salaried,705.0,7624.09,36,0,Mortgage,Married,Medical,0.16,0
LN5543,34,18441.55,Salaried,495.0,11686.13,24,3,Own,Married,Education,0.65,1
LN5544,51,45129.91,Salaried,472.0,27287.99,48,1,Rent,Married,Debt Consolidation,0.638,0
LN5545,39,94182.06,Salaried,583.0,24896.35,60,1,Rent,Married,Debt Consolidation,0.282,0
LN5546,36,46836.38,Salaried,692.0,23879.71,48,0,Rent,Married,Other,0.617,0
LN5547,25,15994.1,Salaried,676.0,23424.11,24,0,Mortgage,Divorced,Education,1.48,0
LN5548,55,38208.71,Business Owner,581.0,17362.01,48,0,Rent,Married,Debt Consolidation,0.416,0
LN5549,32,80526.71,Salaried,755.0,16995.85,24,0,Own,Single,Other,0.239,0
LN5550,45,64402.56,Self-Employed,591.0,15472.97,24,1,Rent,Married,Business,0.288,1
LN5551,41,32210.88,Self-Employed,692.0,10403.2,12,4,Rent,Married,Education,0.31,0
LN5552,56,36951.36,Business Owner,617.0,14047.78,24,1,Rent,Married,Business,0.427,0
LN5553,43,39920.52,Unemployed,572.0,15204.7,60,3,Rent,Married,Education,0.333,1
LN5554,36,35194.43,Salaried,596.0,19533.79,24,1,Rent,Single,Business,0.539,0
LN5555,59,17768.15,Salaried,716.0,14188.03,24,0,Rent,Married,Business,1.002,1
LN5556,62,71811.19,Business Owner,682.0,47244.75,60,3,Rent,Married,Debt Consolidation,0.826,0
LN5557,59,91906.77,Salaried,737.0,6464.71,12,3,Own,Married,Education,0.077,0
LN5558,34,22943.17,Self-Employed,682.0,21008.56,48,1,Rent,Married,Medical,1.054,0
LN5559,51,91301.86,Self-Employed,505.0,13033.18,24,1,Rent,Single,Debt Consolidation,0.175,0
LN5560,25,46559.6,Self-Employed,840.0,13376.94,12,0,Mortgage,Married,Business,0.368,0
